,종목코드1,종목명,종목코드2,시장구분
1,A194510,파티게임즈,194510,
2,A094190,이엘케이,094190,
3,A005980,성지건설,005980,
5,A103130,웅진에너지,103130,
7,A005450,신한,005450,
15,A000030,우리은행,000030,
16,A023430,아이이,023430,
17,A130960,CJ E&M,130960,
18,A104120,신성에프에이,104120,
19,A026180,현대정보기술,026180,
20,A026260,위너지스,026260,
21,A117930,한진해운,117930,
22,A035480,글로앤웰,035480,
23,A043580,에임하이글로벌,043580,
24,A003415,쌍용양회우,003415,
25,A017680,데코앤이,017680,
26,A036500,에스에스컴텍,036500,
27,A047440,디케이씨,047440,
28,A068150,케이엔씨글로벌,068150,
29,A086830,신양오라컴,086830,
30,A099830,씨그널엔터테인먼트그룹,099830,
31,A112240,에스에프씨,112240,
32,A134780,화진,134780,
33,A197210,리드,197210,
35,A003450,케이비증권,003450,
36,A087220,스틸플라워,087220,
37,A037620,미래에셋증권,037620,
39,A004740,보루네오가구,004740,
40,A051170,썬코어,051170,
41,A052290,트레이스,052290,
42,A065160,라임,065160,
43,A149940,모다,149940,
44,A068870,LG생명과학,068870,
45,A057500,SKC 솔믹스,057500,
47,A194610,우성아이비,194610,
48,A123100,원익테라세미콘,123100,
49,A065270,플렉스컴,065270,
50,A030270,에스마크,030270,
51,A204990,코썬바이오,204990,
52,A090730,SIMPAC Metal,090730,
53,A152330,코리아오토글라스,152330,
54,A024660,하림홀딩스,024660,
55,A122800,썬텍,122800,
57,A058370,비엔씨컴퍼니,058370,
58,A099660,신텍,099660,
60,A104110,신성이엔지,104110,
61,A002000,생고뱅코리아홀딩스,002000,
62,A016170,카카오M,016170,
63,A095300,엔에스브이,095300,
64,A123260,파인넥스,123260,
65,A007190,한솔아트원제지,007190,
66,A155960,지디,155960,
67,A052270,우전,052270,
68,A002550,KB손해보험,002550,
69,A061460,한진피앤씨,061460,
70,A077280,한컴지엠디,077280,
72,A081970,넥스지,081970,
73,A110570,넥솔론,110570,
86,A225650,쿠첸,225650,
87,A065940,바이오빌,065940,
88,A108790,인터파크,108790,
90,A002300,한국제지,002300,
91,A027390,한화갤러리아타임월드,027390,
96,A079440,오렌지라이프,079440,
106,A013367,일성건설2우B,013367,
107,A004130,대덕GDS,004130,
109,A054340,피앤텔,054340,
111,A002250,알보젠코리아,002250,
112,A079660,사조해표,079660,
113,A004987,성신양회2우B,004987,
155,A295040,SOL 200TR,295040,
166,A27863K,스터디플래닛1우,27863K,
167,A281630,에잇퍼센트,281630,
168,A286340,짐브러스,286340,
197,A192530,광주은행,192530,
246,A004200,고려개발,004200,
247,A001799,대한제당3우B,001799,
260,A011160,두산건설,011160,
265,A276960,씨드아이글로벌,276960,
275,A169830,네이처리퍼블릭,169830,
279,A249680,메디오젠,249680,
280,A008000,도레이케미칼,008000,
295,A002005,생고뱅코리아홀딩스1우,002005,
304,A004989,성신양회3우B,004989,
310,A122230,오코스모스,122230,
312,A277290,현대에스티앤피,277290,
354,A272810,펀진,272810,
358,A259070,제이에스테크,259070,
360,A244310,세미스트,244310,
361,A304720,에어필립,304720,
362,A298130,옥천당,298130,
363,A289190,제이시스메디칼,289190,
366,A277490,파워리퍼블릭,277490,
374,A004135,대덕GDS우,004135,
375,A340750,씨엘바이오,340750,
376,A336730,비욘드바이오,336730,
377,A334970,프레스티지바이오로직스,334970,
378,A316320,메티메디제약,316320,
379,A314080,이노핀,314080,
380,A312800,퓨젠바이오,312800,
381,A300500,에이디엠,300500,
382,A299760,더코더,299760,
383,A266530,체크페이먼트,266530,
384,A259210,글람,259210,
385,A258890,미라셀,258890,
386,A244290,이루모,244290,
387,A239280,필로시스,239280,
388,A234820,레온,234820,
389,A142220,이씨스,142220,
390,A170190,노바셀테크놀로지,170190,
391,A177850,무한비트,177850,
392,A194530,엔에스스튜디오,194530,
408,A285880,아이디티월드,285880,
411,A064400,엘지씨엔에스,064400,
420,A248070,솔루엠,248070,
426,A106870,엔쓰리엔,106870,
435,A192720,파워 고배당저변동성,192720,
447,A370310,플러스앤파트너스,370310,
449,A078510,한국유로핀즈분석서비스,078510,
461,A011720,현대페인트,011720,
463,A074150,엠제이비,074150,
